time,Lyman_alpha,MgII,au_factor,Lyman_alpha_corr,MgII_corr
2017-02-07,0.0063385665,0.26289123,0.97285193,0.0061664865,0.25575423
2017-02-08,0.006351676,0.26301566,0.97317845,0.006181314,0.25596118
2017-02-09,0.006430645,0.26339072,0.9735155,0.0062603327,0.25641495
2017-02-10,0.006430925,0.26341128,0.9738632,0.006262841,0.25652656
2017-02-11,0.006484486,0.26371306,0.97422165,0.006317327,0.25691497
2017-02-12,0.0065211826,0.26388574,0.9745907,0.006355484,0.2571806
2017-02-13,0.0065222587,0.26388693,0.97497,0.0063590063,0.25728184
2017-02-14,0.006576518,0.26412237,0.975359,0.006414466,0.25761414
2017-02-15,0.0066108205,0.26425081,0.9757575,0.0064505576,0.25784472
2017-02-16,0.0066112755,0.26421797,0.97616476,0.0064536943,0.25792027
2017-02-17,0.006595619,0.26416835,0.97658014,0.006441151,0.25798157
2017-02-18,0.006570302,0.2640617,0.9770032,0.006419206,0.2579891
2017-02-19,0.006597578,0.26434115,0.9774335,0.006448694,0.25837588
2017-02-20,0.0066364924,0.2647658,0.97787,0.0064896266,0.25890654
2017-02-21,0.0066940333,0.26528564,0.9783126,0.0065488573,0.2595323
2017-02-22,0.0066917115,0.26542616,0.97876054,0.0065495833,0.25978866
2017-02-23,0.0067634094,0.26577023,0.97921306,0.0066228188,0.26024568
2017-02-24,0.0067470577,0.2657199,0.97966987,0.006609889,0.26031777
2017-02-25,0.0067174355,0.26556182,0.9801305,0.0065839635,0.26028523
2017-02-26,0.0066935904,0.26546264,0.98059434,0.006563697,0.26031116
2017-02-27,0.0066783656,0.26540875,0.98106116,0.006551885,0.26038224
2017-02-28,0.00664069,0.26523128,0.9815309,0.006518042,0.2603327
2017-03-01,0.0066161505,0.26512137,0.98200345,0.0064970828,0.2603501
2017-03-02,0.006546701,0.26475155,0.98247904,0.0064319964,0.26011285
2017-03-03,0.0065247784,0.2645542,0.982958,0.006413583,0.26004568
2017-03-04,0.0064666294,0.26410016,0.9834408,0.0063595474,0.25972688
2017-03-05,0.0064268177,0.26385996,0.9839277,0.0063235243,0.25961912
2017-03-06,0.0063710655,0.26357767,0.9844195,0.0062718014,0.259471
2017-03-07,0.0063205995,0.26335344,0.98491675,0.006225264,0.2593812
2017-03-08,0.006279731,0.2631077,0.98541963,0.0061881705,0.25927147
2017-03-09,0.006329338,0.26324168,0.9859287,0.006240276,0.25953752
2017-03-10,0.0063186768,0.26311398,0.98644423,0.006233022,0.25954726
2017-03-11,0.0063096834,0.26310998,0.9869663,0.006227445,0.2596807
2017-03-12,0.006319988,0.26308373,0.987495,0.0062409565,0.25979388
2017-03-13,0.006323299,0.26308095,0.98803,0.006247609,0.2599319
2017-03-14,0.0063148527,0.2630421,0.9885713,0.006242682,0.26003587
2017-03-15,0.006326434,0.26314053,0.9891181,0.0062575904,0.26027706
2017-03-16,0.006314759,0.2631545,0.98967046,0.0062495307,0.26043624
2017-03-17,0.0063056955,0.26317358,0.99022764,0.006244074,0.26060176
2017-03-18,0.0063313018,0.2633441,0.9907891,0.0062729847,0.26091847
2017-03-19,0.006336968,0.26346433,0.99135435,0.0062821805,0.2611865
2017-03-20,0.006360094,0.26360288,0.9919226,0.0063087214,0.26147366
