:Data_List:  NOAAMgII.dat version 9.1
:Created:  2001 April 24
:Updated:  Daily
# The NOAA Mg II daily Index version 9.1
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center
# Please send comments and questions to Lawrence.Puga@noaa.gov or
# Rodney.Viereck@noaa.gov.
#
# Metadata:
# Year Month Day and Date in UTC
# MgII Core-to-wing ratio (no units)
# Data Source:
#     0 - No data (-999.0)
#     1 - NOAA TIROS and NOAA 9
#     2 - NOAA 11
#     3 - NOAA 9 (Alternate Algorithm)
#     4 - UARS SOLSTICE
#     5 - GOME Data
#     6 - NOAA 16
#
# Acknowledgements:  Tom Woods (CU LASP), Gary Rottman (CU LASP), and
# Giuliana de Toma (NCAR, HAO) for the SOLSTICE data.
# Mark Weber (U. Bremen, Germany) for the GOME data.
#
# The Mg II core-to-wing ratio is derived by taking the ratio of the h and
# k lines of the solar Mg II feature at 280 nm to the background or wings at
# approximately 278 nm and 282 nm.  The h and k lines are variable chromospheric
# emissions while the background emissions are more stable.  The result is a
# robust measure of chromospheric activity.  This ratio has been shown to be
# a good measure of solar UV and EUV emissions.
#
# Each of the data sets was scaled to the original NOAA TIROS NOAA 9 data
# set with a linear fit of the overlapping data.  The nature of the Mg II
# core-to-wing ratio and the quality of the data resulted in linear
# correlation coefficients between 0.98 and 0.999.
#
# References:
# Viereck and Puga, The NOAA Mg II core-to-wing solar index:
#   Construction of a 20-year time series of chromospheric variability from
#   multiple satellites., JGR, 104, pp9995-10005, May 1999.
# Viereck et al., The Mg II Index: A proxy for Solar EUV., GRL, 28,
#   pp1343-1346, April 2001.
#
#
# UTC Date and Time
#
# Year Month Day Date   MgII   Source
#------------------------------------
 1978 11 07 11/07/1978  0.2772   1
 1978 11 08 11/08/1978  0.2770   1
 1978 11 09 11/09/1978  0.2769   1
 1978 11 10 11/10/1978  0.2765   1
 1978 11 11 11/11/1978  -999.0   0
 1978 11 12 11/12/1978  0.2759   1
 1978 11 13 11/13/1978  0.2747   1
 1978 11 14 11/14/1978  0.2736   1
 1978 11 15 11/15/1978  -999.0   0
 1978 11 16 11/16/1978  -999.0   0
 1978 11 17 11/17/1978  -999.0   0
 1978 11 18 11/18/1978  -999.0   0
 1978 11 19 11/19/1978  0.2728   1
 1978 11 20 11/20/1978  0.2722   1
 1978 11 21 11/21/1978  -999.0   0
 1978 11 22 11/22/1978  0.2718   1
 1978 11 23 11/23/1978  0.2718   1
 1978 11 24 11/24/1978  0.2725   1
 1978 11 25 11/25/1978  0.2732   1
 1978 11 26 11/26/1978  0.2742   1
 1978 11 27 11/27/1978  0.2754   1
 1978 11 28 11/28/1978  0.2755   1
 1978 11 29 11/29/1978  -999.0   0
 1978 11 30 11/30/1978  -999.0   0
 1978 12 01 12/01/1978  0.2783   1
 1978 12 02 12/02/1978  0.2790   1
 1978 12 03 12/03/1978  -999.0   0
 1978 12 04 12/04/1978  0.2782   1
 1978 12 05 12/05/1978  0.2789   1
 1978 12 06 12/06/1978  0.2781   1
 1978 12 07 12/07/1978  0.2784   1
 1978 12 08 12/08/1978  0.2776   1
 1978 12 09 12/09/1978  0.2774   1
 1978 12 10 12/10/1978  -999.0   0
 1978 12 11 12/11/1978  -999.0   0
 1978 12 12 12/12/1978  0.2776   1
 1978 12 13 12/13/1978  0.2775   1
 1978 12 14 12/14/1978  0.2769   1
