year,month,day,date_str,mgii_index,source_id,date,mgii_lag1,mgii_lag2,mgii_lag3,mgii_lag4,mgii_lag5,mgii_lag6,mgii_lag7,mgii_lag27
1978,12,16,12/16/1978,0.2761,1.0,1978-12-16,0.2769,0.2775,0.2776,0.2774,0.2776,0.2784,0.2781,0.2772
1978,12,17,12/17/1978,0.272,1.0,1978-12-17,0.2761,0.2769,0.2775,0.2776,0.2774,0.2776,0.2784,0.277
1978,12,18,12/18/1978,0.2742,1.0,1978-12-18,0.272,0.2761,0.2769,0.2775,0.2776,0.2774,0.2776,0.2769
1978,12,19,12/19/1978,0.2732,1.0,1978-12-19,0.2742,0.272,0.2761,0.2769,0.2775,0.2776,0.2774,0.2765
1978,12,20,12/20/1978,0.273,1.0,1978-12-20,0.2732,0.2742,0.272,0.2761,0.2769,0.2775,0.2776,0.2759
1978,12,21,12/21/1978,0.2694,1.0,1978-12-21,0.273,0.2732,0.2742,0.272,0.2761,0.2769,0.2775,0.2747
1978,12,22,12/22/1978,0.2709,1.0,1978-12-22,0.2694,0.273,0.2732,0.2742,0.272,0.2761,0.2769,0.2736
1978,12,24,12/24/1978,0.2721,1.0,1978-12-24,0.2709,0.2694,0.273,0.2732,0.2742,0.272,0.2761,0.2728
1978,12,25,12/25/1978,0.2739,1.0,1978-12-25,0.2721,0.2709,0.2694,0.273,0.2732,0.2742,0.272,0.2722
1978,12,26,12/26/1978,0.2749,1.0,1978-12-26,0.2739,0.2721,0.2709,0.2694,0.273,0.2732,0.2742,0.2718
1978,12,28,12/28/1978,0.2776,1.0,1978-12-28,0.2749,0.2739,0.2721,0.2709,0.2694,0.273,0.2732,0.2718
1978,12,29,12/29/1978,0.2789,1.0,1978-12-29,0.2776,0.2749,0.2739,0.2721,0.2709,0.2694,0.273,0.2725
1978,12,30,12/30/1978,0.2795,1.0,1978-12-30,0.2789,0.2776,0.2749,0.2739,0.2721,0.2709,0.2694,0.2732
1979,1,01,1/01/1979,0.281,1.0,1979-01-01,0.2795,0.2789,0.2776,0.2749,0.2739,0.2721,0.2709,0.2742
1979,1,02,1/02/1979,0.2814,1.0,1979-01-02,0.281,0.2795,0.2789,0.2776,0.2749,0.2739,0.2721,0.2754
1979,1,03,1/03/1979,0.2824,1.0,1979-01-03,0.2814,0.281,0.2795,0.2789,0.2776,0.2749,0.2739,0.2755
1979,1,05,1/05/1979,0.2819,1.0,1979-01-05,0.2824,0.2814,0.281,0.2795,0.2789,0.2776,0.2749,0.2783
