model,mae,rmse
persistence,19.714115044247787,30.04156154985926
linreg_flux_no_lag,19.68962238278189,28.667357492202548
linreg_flux_7_lags,18.505150585933887,27.36398515793311
linreg_flux_14_lags,15.690794309852814,23.574708819187315
linreg_flux_27_lags,14.706123842818595,22.228703349632863
linreg_daily_flux_ap,19.71508682296671,28.66249350280123
linreg_flux_14_lags_ap,15.733209291129372,23.574814445257893
linreg_flux_27_lags_ap,14.733928266036676,22.22575485547435
linreg_flux_14_lags_ap_14_lags,15.792383975740632,23.585745217549302
linreg_flux_27_lags_ap_27_lags,14.857423971275384,22.23862749061477
linreg_flux_27_lags_ap_phase2_style,14.73460381489454,22.218820430262472
linreg_flux_14_lags_ssn,15.615708394221338,23.591249856570805
linreg_flux_27_lags_ssn,14.63596730205408,22.24247285732249
linreg_flux_14_lags_ssn_14_lags,15.479901472705732,23.410759283913062
linreg_flux_27_lags_ssn_27_lags,14.55080471820076,22.26077016617904
lgbm_flux_no_lag,18.48774021997048,27.520913004608968
lgbm_flux_14_lags,15.35516384185179,23.15304753766421
lgbm_flux_27_lags,14.545205970493912,22.24853794050932
lgbm_flux_14_lags_ssn,15.405632882371616,23.273469181920458
lgbm_flux_27_lags_ssn,14.59904744032451,22.229076047280387
xgb_flux_no_lag,18.49157790867628,27.534627573000968
xgb_flux_7_lags,17.28088961035804,25.811193485105665
xgb_flux_14_lags,15.145722088434002,23.17500757901933
xgb_flux_27_lags,14.388502155405227,22.187302494630348
xgb_flux_14_lags_ssn,15.145722088434002,23.17500757901933
xgb_flux_27_lags_ssn,14.388502155405227,22.187302494630348
ada_flux_no_lag,26.462063394533505,34.08357971082321
